name	Sample	OTU	effect	mean_Precision	mean_TPR
AAnew_TSS	200	800	1	0.037343193	0.04175
AAnew_TSS	300	800	1	0.034930013	0.030625
AAnew_TSS	500	800	1	0.022886903	0.018875
AAnew_TSS	20	800	2	0.152400049	0.377706186
AAnew_TSS	50	800	2	0.151927636	0.33
AAnew_TSS	100	800	2	0.211512889	0.280625
AAnew_TSS	200	800	2	0.276017881	0.203375
AAnew_TSS	300	800	2	0.357676649	0.203
AAnew_TSS	500	800	2	0.428977031	0.172625
AAnew_TSS	20	800	5	0.288293907	0.666108247
AAnew_TSS	50	800	5	0.352655306	0.746125
AAnew_TSS	100	800	5	0.555268635	0.774
AAnew_TSS	200	800	5	0.763757164	0.808375
AAnew_TSS	300	800	5	0.845368152	0.85425
AAnew_TSS	500	800	5	0.92653883	0.871875
AAnew_TSS	20	800	10	0.370501628	0.769473684
AAnew_TSS	50	800	10	0.456433064	0.8705
AAnew_TSS	100	800	10	0.669775179	0.921625
AAnew_TSS	200	800	10	0.874871529	0.953375
AAnew_TSS	300	800	10	0.933999668	0.97
AAnew_TSS	500	800	10	0.973288474	0.984375
AAnew_TSS	20	1000	1	0.071524761	0.183368421
AAnew_TSS	50	1000	1	0.043051464	0.1045
AAnew_TSS	100	1000	1	0.03671873	0.0604
AAnew_TSS	200	1000	1	0.039135894	0.0429
AAnew_TSS	300	1000	1	0.031255082	0.028
AAnew_TSS	500	1000	1	0.016441621	0.0134
AAnew_TSS	20	1000	2	0.155894685	0.375
AAnew_TSS	50	1000	2	0.148175779	0.33
AAnew_TSS	100	1000	2	0.209232151	0.2676
AAnew_TSS	200	1000	2	0.279863654	0.2211
AAnew_TSS	300	1000	2	0.329915821	0.1894
AAnew_TSS	500	1000	2	0.447445193	0.1638
AAnew_TSS	20	1000	5	0.290158587	0.654583333
AAnew_TSS	50	1000	5	0.34785804	0.732
AAnew_TSS	100	1000	5	0.54248108	0.7778
AAnew_TSS	200	1000	5	0.755804688	0.8254
AAnew_TSS	300	1000	5	0.83796396	0.8385
AAnew_TSS	500	1000	5	0.923991468	0.8705
AAnew_TSS	20	1000	10	0.381145893	0.772268041
AAnew_TSS	50	1000	10	0.453248517	0.8643
AAnew_TSS	100	1000	10	0.683565822	0.9241
AAnew_TSS	200	1000	10	0.872172429	0.9552
AAnew_TSS	300	1000	10	0.933453588	0.9688
AAnew_TSS	500	1000	10	0.972675818	0.9881
AAnew_TSS	20	2000	1	0.091045872	0.211354167
AAnew_TSS	50	2000	1	0.049533515	0.1433
AAnew_TSS	100	2000	1	0.045006597	0.096
AAnew_TSS	200	2000	1	0.036257103	0.06435
AAnew_TSS	300	2000	1	0.031810877	0.0477
AAnew_TSS	500	2000	1	0.022685945	0.0299
AAnew_TSS	20	2000	2	0.16746281	0.362864583
AAnew_TSS	50	2000	2	0.128786644	0.3424
AAnew_TSS	100	2000	2	0.153709037	0.27215
AAnew_TSS	200	2000	2	0.181508749	0.2312
AAnew_TSS	300	2000	2	0.199626734	0.1943
AAnew_TSS	500	2000	2	0.273655399	0.16925
AAnew_TSS	20	2000	5	0.296843861	0.615677083
AAnew_TSS	50	2000	5	0.277462498	0.6872
AAnew_TSS	100	2000	5	0.421146703	0.7213
AAnew_TSS	200	2000	5	0.579195313	0.77965
AAnew_TSS	300	2000	5	0.677258428	0.79055
AAnew_TSS	500	2000	5	0.828992409	0.84215
AAnew_TSS	20	2000	10	0.39096979	0.70787234
AAnew_TSS	50	2000	10	0.369914306	0.8157
AAnew_TSS	100	2000	10	0.545654	0.8871
AAnew_TSS	200	2000	10	0.730130511	0.94155
AAnew_TSS	300	2000	10	0.823433324	0.9624
AAnew_TSS	500	2000	10	0.911665542	0.97755
ALDEx2_wi	20	100	1	0	0
ALDEx2_wi	20	100	10	0.372649975	0.259
ALDEx2_wi	20	100	2	0.03875	0.0065
ALDEx2_wi	20	100	5	0.359512266	0.1385
ALDEx2_wi	20	1000	1	0	0
ALDEx2_wi	20	1000	10	0.323922104	0.0225
ALDEx2_wi	20	1000	2	0.005	5.00E-05
ALDEx2_wi	20	1000	5	0.186767857	0.00495
ALDEx2_wi	20	200	1	0	0
ALDEx2_wi	20	2000	1	0	0
ALDEx2_wi	20	2000	10	0.35971806	0.013075
ALDEx2_wi	20	2000	2	0.0125	0.000125
ALDEx2_wi	20	2000	5	0.146932554	0.002375
ALDEx2_wi	20	300	1	0	0
ALDEx2_wi	20	300	10	0.359575923	0.0765
ALDEx2_wi	20	300	2	0.02	0.000666667
ALDEx2_wi	20	300	5	0.256972222	0.024333333
ALDEx2_wi	20	400	1	0.005	0.000125
ALDEx2_wi	20	400	10	0.39456207	0.07925
ALDEx2_wi	20	400	2	0.015	0.000625
ALDEx2_wi	20	400	5	0.207901571	0.021
ALDEx2_wi	20	500	1	0	0
ALDEx2_wi	20	500	10	0.394769899	0.0783
ALDEx2_wi	20	500	2	0.0125	3.00E-04
ALDEx2_wi	20	500	5	0.291186563	0.0232
ALDEx2_wi	20	800	1	0	0
ALDEx2_wi	20	800	10	0.35764779	0.02575
ALDEx2_wi	20	800	2	0	0
ALDEx2_wi	20	800	5	0.156468254	0.0049375
ALDEx2_wi	20	200	2	0.026666667	0.0015
ALDEx2_wi	20	200	5	0.312414683	0.04875
ALDEx2_wi	20	200	10	0.399523451	0.15175
ALDEx2_wi	50	100	1	0	0
ALDEx2_wi	50	100	10	0.35521727	0.5135
ALDEx2_wi	50	100	2	0.230186508	0.061
ALDEx2_wi	50	100	5	0.366846788	0.372
ALDEx2_wi	50	1000	1	0	0
ALDEx2_wi	50	1000	10	0.410760543	0.16565
ALDEx2_wi	50	1000	2	0.101583333	0.0022
ALDEx2_wi	50	1000	5	0.396837038	0.07125
ALDEx2_wi	50	200	1	0.005	0.00025
ALDEx2_wi	50	200	10	0.381248355	0.453
ALDEx2_wi	50	200	2	0.240637446	0.02525
ALDEx2_wi	50	200	5	0.404098182	0.2875
ALDEx2_wi	50	2000	1	0	0
ALDEx2_wi	50	2000	10	0.402449607	0.104
ALDEx2_wi	50	2000	2	0.091464286	0.000925
ALDEx2_wi	50	2000	5	0.376744733	0.04265
ALDEx2_wi	50	300	1	0	0
ALDEx2_wi	50	300	10	0.391309752	0.3635
ALDEx2_wi	50	300	2	0.1225	0.007333333
ALDEx2_wi	50	300	5	0.393048799	0.181333333
ALDEx2_wi	50	400	1	0	0
ALDEx2_wi	50	400	10	0.391484551	0.3575
ALDEx2_wi	50	400	2	0.127301587	0.007125
ALDEx2_wi	50	400	5	0.399490946	0.188875
ALDEx2_wi	50	500	1	0	0
ALDEx2_wi	50	500	10	0.396806861	0.3658
ALDEx2_wi	50	500	2	0.164847222	0.0092
ALDEx2_wi	50	500	5	0.388717722	0.1888
ALDEx2_wi	50	800	1	0	0
ALDEx2_wi	50	800	10	0.3976208	0.163
ALDEx2_wi	50	800	2	0.074333333	0.0015625
ALDEx2_wi	50	800	5	0.391371093	0.070875
ALDEx2_wi	100	100	1	0	0
ALDEx2_wi	100	100	10	0.293198925	0.6935
ALDEx2_wi	100	100	2	0.402464258	0.2265
ALDEx2_wi	100	100	5	0.342644047	0.5025
ALDEx2_wi	100	1000	1	0	0
ALDEx2_wi	100	1000	10	0.403179273	0.297
ALDEx2_wi	100	1000	2	0.328557928	0.01395
ALDEx2_wi	100	1000	5	0.399083664	0.18585
ALDEx2_wi	100	200	1	0	0
ALDEx2_wi	100	200	10	0.360056374	0.664
ALDEx2_wi	100	200	2	0.372481421	0.10625
ALDEx2_wi	100	200	5	0.380189752	0.475
ALDEx2_wi	100	2000	1	0	0
ALDEx2_wi	100	2000	10	0.399291931	0.194175
ALDEx2_wi	100	2000	2	0.276064035	0.007625
ALDEx2_wi	100	2000	5	0.398878199	0.118675
ALDEx2_wi	100	300	1	0	0
ALDEx2_wi	100	300	10	0.380270285	0.5635
ALDEx2_wi	100	300	2	0.38273	0.061166667
ALDEx2_wi	100	300	5	0.394534918	0.3895
ALDEx2_wi	100	400	1	0	0
ALDEx2_wi	100	400	10	0.385208301	0.57875
ALDEx2_wi	100	400	2	0.365966004	0.050375
ALDEx2_wi	100	400	5	0.384323156	0.381
ALDEx2_wi	100	500	1	0	0
ALDEx2_wi	100	500	10	0.380863591	0.566
ALDEx2_wi	100	500	2	0.370264656	0.0565
ALDEx2_wi	100	500	5	0.382755524	0.38
ALDEx2_wi	100	800	1	0	0
ALDEx2_wi	100	800	10	0.399672559	0.3015625
ALDEx2_wi	100	800	2	0.287250999	0.0164375
ALDEx2_wi	100	800	5	0.398004874	0.1870625
ALDEx2_wi	200	100	1	0.000833333	5.00E-04
ALDEx2_wi	200	100	10	0.252945244	0.877
ALDEx2_wi	200	100	2	0.361521746	0.346
ALDEx2_wi	200	100	5	0.303144623	0.705
ALDEx2_wi	200	1000	1	0.005	5.00E-05
ALDEx2_wi	200	1000	10	0.402214472	0.4385
ALDEx2_wi	200	1000	2	0.392257745	0.06635
ALDEx2_wi	200	1000	5	0.392791754	0.30535
ALDEx2_wi	200	200	1	0	0
ALDEx2_wi	200	200	10	0.324336964	0.80275
ALDEx2_wi	200	200	2	0.388465143	0.251
ALDEx2_wi	200	200	5	0.359638771	0.6675
ALDEx2_wi	200	2000	1	0	0
ALDEx2_wi	200	2000	10	0.399485198	0.289725
ALDEx2_wi	200	2000	2	0.413506601	0.0422
ALDEx2_wi	200	2000	5	0.396731654	0.2051
ALDEx2_wi	200	300	1	0	0
ALDEx2_wi	200	300	10	0.356259713	0.717166667
ALDEx2_wi	200	300	2	0.399186277	0.1765
ALDEx2_wi	200	300	5	0.376961395	0.567833333
ALDEx2_wi	200	400	1	0.005	0.000125
ALDEx2_wi	200	400	10	0.359537363	0.735375
ALDEx2_wi	200	400	2	0.399822816	0.182625
ALDEx2_wi	200	400	5	0.374795566	0.573875
ALDEx2_wi	200	500	1	0	0
ALDEx2_wi	200	500	10	0.358920604	0.7206
ALDEx2_wi	200	500	2	0.395967658	0.1846
ALDEx2_wi	200	500	5	0.374252872	0.5735
ALDEx2_wi	200	800	1	0	0
ALDEx2_wi	200	800	10	0.402325323	0.4415
ALDEx2_wi	200	800	2	0.406545994	0.0686875
ALDEx2_wi	200	800	5	0.401314405	0.3214375
ALDEx2_wi	300	100	1	0	0
ALDEx2_wi	300	100	10	0.22516693	0.934
ALDEx2_wi	300	100	2	0.373794871	0.423
ALDEx2_wi	300	100	5	0.272227535	0.8005
ALDEx2_wi	300	1000	1	0	0
ALDEx2_wi	300	1000	10	0.396481532	0.5096
ALDEx2_wi	300	1000	2	0.395239144	0.1143
ALDEx2_wi	300	1000	5	0.40357039	0.39495
ALDEx2_wi	300	200	1	0	0
ALDEx2_wi	300	200	10	0.307760169	0.868
ALDEx2_wi	300	200	2	0.389089655	0.3565
ALDEx2_wi	300	200	5	0.339855777	0.74725
ALDEx2_wi	300	2000	1	0	0
ALDEx2_wi	300	2000	10	0.396775262	0.3488
ALDEx2_wi	300	2000	2	0.40432806	0.075675
ALDEx2_wi	300	2000	5	0.399866791	0.260625
ALDEx2_wi	300	300	1	0.01	5.00E-04
ALDEx2_wi	300	300	10	0.343637199	0.780833333
ALDEx2_wi	300	300	2	0.395070624	0.265166667
ALDEx2_wi	300	300	5	0.367463829	0.661166667
ALDEx2_wi	300	400	1	0	0
ALDEx2_wi	300	400	10	0.340236333	0.796875
ALDEx2_wi	300	400	2	0.396518546	0.26725
ALDEx2_wi	300	400	5	0.369113726	0.68
ALDEx2_wi	300	500	1	0	0
ALDEx2_wi	300	500	10	0.34425416	0.7922
ALDEx2_wi	300	500	2	0.393067655	0.2639
ALDEx2_wi	300	500	5	0.367214579	0.6663
ALDEx2_wi	300	800	1	0	0
ALDEx2_wi	300	800	10	0.39973455	0.519125
ALDEx2_wi	300	800	2	0.40949248	0.124125
ALDEx2_wi	300	800	5	0.396224784	0.39525
ALDEx2_wi	500	100	1	0	0
ALDEx2_wi	500	100	10	0.190505325	0.9665
ALDEx2_wi	500	100	2	0.352864088	0.514
ALDEx2_wi	500	100	5	0.238459066	0.9055
ALDEx2_wi	500	1000	1	0	0
ALDEx2_wi	500	1000	10	0.394417666	0.6044
ALDEx2_wi	500	1000	2	0.39906749	0.1917
ALDEx2_wi	500	1000	5	0.397607881	0.4894
ALDEx2_wi	500	200	1	0.00125	5.00E-04
ALDEx2_wi	500	200	10	0.275404469	0.91
ALDEx2_wi	500	200	2	0.377303536	0.48
ALDEx2_wi	500	200	5	0.314048243	0.83525
ALDEx2_wi	500	2000	1	0	0
ALDEx2_wi	500	2000	10	0.40025261	0.435875
ALDEx2_wi	500	2000	2	0.406531216	0.13005
ALDEx2_wi	500	2000	5	0.396854086	0.333075
ALDEx2_wi	500	300	1	0	0
ALDEx2_wi	500	300	10	0.323446242	0.850833333
ALDEx2_wi	500	300	2	0.389479799	0.392166667
ALDEx2_wi	500	300	5	0.347314917	0.750333333
ALDEx2_wi	500	400	1	0	0
ALDEx2_wi	500	400	10	0.319378428	0.856125
