name	Sample	OTU	effect	mean_TPR	mean_FPR
AAnew_TSS	200	800	1	0.04175	0.122444444
AAnew_TSS	300	800	1	0.030625	0.096083333
AAnew_TSS	500	800	1	0.018875	0.083791667
AAnew_TSS	20	800	2	0.377706186	0.233233104
AAnew_TSS	50	800	2	0.33	0.204652778
AAnew_TSS	100	800	2	0.280625	0.118291667
AAnew_TSS	200	800	2	0.203375	0.063541667
AAnew_TSS	300	800	2	0.203	0.045527778
AAnew_TSS	500	800	2	0.172625	0.028861111
AAnew_TSS	20	800	5	0.666108247	0.183762887
AAnew_TSS	50	800	5	0.746125	0.154208333
AAnew_TSS	100	800	5	0.774	0.071416667
AAnew_TSS	200	800	5	0.808375	0.029013889
AAnew_TSS	300	800	5	0.85425	0.017972222
AAnew_TSS	500	800	5	0.871875	0.008027778
AAnew_TSS	20	800	10	0.769473684	0.146739766
AAnew_TSS	50	800	10	0.8705	0.117458333
AAnew_TSS	100	800	10	0.921625	0.05225
AAnew_TSS	200	800	10	0.953375	0.01575
AAnew_TSS	300	800	10	0.97	0.007888889
AAnew_TSS	500	800	10	0.984375	0.003097222
AAnew_TSS	20	1000	1	0.183368421	0.263052632
AAnew_TSS	50	1000	1	0.1045	0.253777778
AAnew_TSS	100	1000	1	0.0604	0.174277778
AAnew_TSS	200	1000	1	0.0429	0.116077778
AAnew_TSS	300	1000	1	0.028	0.091388889
AAnew_TSS	500	1000	1	0.0134	0.073388889
AAnew_TSS	20	1000	2	0.375	0.226180556
AAnew_TSS	50	1000	2	0.33	0.210611111
AAnew_TSS	100	1000	2	0.2676	0.1153
AAnew_TSS	200	1000	2	0.2211	0.068655556
AAnew_TSS	300	1000	2	0.1894	0.048755556
AAnew_TSS	500	1000	2	0.1638	0.0265
AAnew_TSS	20	1000	5	0.654583333	0.179456019
AAnew_TSS	50	1000	5	0.732	0.153966667
AAnew_TSS	100	1000	5	0.7778	0.075366667
AAnew_TSS	200	1000	5	0.8254	0.031544444
AAnew_TSS	300	1000	5	0.8385	0.018977778
AAnew_TSS	500	1000	5	0.8705	0.008255556
AAnew_TSS	20	1000	10	0.772268041	0.141042383
AAnew_TSS	50	1000	10	0.8643	0.117088889
AAnew_TSS	100	1000	10	0.9241	0.048822222
AAnew_TSS	200	1000	10	0.9552	0.016066667
AAnew_TSS	300	1000	10	0.9688	0.007955556
AAnew_TSS	500	1000	10	0.9881	0.003288889
AAnew_TSS	20	2000	1	0.211354167	0.233547454
AAnew_TSS	50	2000	1	0.1433	0.304255556
AAnew_TSS	100	2000	1	0.096	0.226433333
AAnew_TSS	200	2000	1	0.06435	0.18845
