name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
AAnew_TSS	100	100	abundant	1	0.8673	0.023777377	0.011666667	0.10121318	0.002	0.014070529	0.003068182	0.021959899	0.036555556	0.026298193	0.963444444	0.026298193	0.908333333	0.287579589
AAnew_TSS	100	100	abundant	2	0.9122	0.029044723	0.621688728	0.215006353	0.426	0.177308725	0.485479961	0.160899107	0.033777778	0.025753152	0.966222222	0.025753152	0.378311272	0.215006353
AAnew_TSS	100	100	abundant	5	0.971	0.030797481	0.822548955	0.153873795	0.974	0.052454887	0.883031749	0.103690479	0.029333333	0.033816919	0.970666667	0.033816919	0.177451045	0.153873795
AAnew_TSS	100	100	abundant	10	0.9886	0.019797969	0.921414035	0.110242221	0.994	0.023868326	0.95209143	0.06978208	0.012	0.022091648	0.988	0.022091648	0.078585965	0.110242221
AAnew_TSS	100	200	abundant	1	0.8512	0.025525982	0.031815717	0.068615476	0.0175	0.03128155	0.021028955	0.037006896	0.056166667	0.02914048	0.943833333	0.02914048	0.968184283	0.068615476
AAnew_TSS	100	200	abundant	2	0.8997	0.02357901	0.515888223	0.167601876	0.3455	0.122905688	0.404565588	0.127198058	0.038722222	0.020972952	0.961277778	0.020972952	0.484111777	0.167601876
AAnew_TSS	100	200	abundant	5	0.96385	0.024780399	0.800174295	0.137433889	0.906	0.076303488	0.841237161	0.089840368	0.029722222	0.027289479	0.970277778	0.027289479	0.199825705	0.137433889
AAnew_TSS	100	200	abundant	10	0.9883	0.012456389	0.917172885	0.084190227	0.9825	0.033616224	0.946309047	0.051812304	0.011055556	0.01338875	0.988944444	0.01338875	0.082827115	0.084190227
AAnew_TSS	100	300	abundant	1	0.846233333	0.024170434	0.045420197	0.054801174	0.029666667	0.034130206	0.034717806	0.039600549	0.063037037	0.028063649	0.936962963	0.028063649	0.954579803	0.054801174
AAnew_TSS	100	300	abundant	2	0.901133333	0.017168996	0.518229606	0.138452671	0.318333333	0.109623885	0.386704485	0.109997864	0.034111111	0.016210834	0.965888889	0.016210834	0.481770394	0.138452671
AAnew_TSS	100	300	abundant	5	0.966766667	0.014405191	0.823482416	0.090408562	0.868666667	0.063884717	0.841599754	0.058752406	0.022333333	0.015369841	0.977666667	0.015369841	0.176517584	0.090408562
AAnew_TSS	100	300	abundant	10	0.986033333	0.011851068	0.911537039	0.077616417	0.963666667	0.038517709	0.934547255	0.047807739	0.011481481	0.012900013	0.988518519	0.012900013	0.088462961	0.077616417
AAnew_TSS	100	400	abundant	1	0.842975	0.023408146	0.039249016	0.039161086	0.02575	0.026934029	0.02997908	0.029580702	0.066222222	0.027144062	0.933777778	0.027144062	0.960750984	0.039161086
AAnew_TSS	100	400	abundant	2	0.896375	0.016308171	0.486004293	0.117713712	0.3235	0.087459948	0.382200062	0.087895501	0.039972222	0.016435428	0.960027778	0.016435428	0.513995707	0.117713712
AAnew_TSS	100	400	abundant	5	0.971325	0.012010386	0.840708193	0.079939727	0.89175	0.059887837	0.862674798	0.052846891	0.019833333	0.011712273	0.980166667	0.011712273	0.159291807	0.079939727
AAnew_TSS	100	400	abundant	10	0.98715	0.009184006	0.914527357	0.064722347	0.96725	0.034210984	0.938810636	0.041188807	0.010638889	0.009081243	0.989361111	0.009081243	0.085472643	0.064722347
AAnew_TSS	100	500	abundant	1	0.84228	0.02420121	0.036684526	0.037787268	0.0226	0.022680032	0.027080371	0.026758117	0.066644444	0.027405578	0.933355556	0.027405578	0.963315474	0.037787268
AAnew_TSS	100	500	abundant	2	0.89242	0.018311105	0.464618166	0.117805801	0.3352	0.086742158	0.382625567	0.085310613	0.045666667	0.019491925	0.954333333	0.019491925	0.535381834	0.117805801
AAnew_TSS	100	500	abundant	5	0.9701	0.012244562	0.832389053	0.078985411	0.8896	0.057029498	0.857461803	0.053371362	0.020955556	0.012011779	0.979044444	0.012011779	0.167610947	0.078985411
AAnew_TSS	100	500	abundant	10	0.98764	0.006601989	0.912364496	0.05323796	0.9738	0.025377155	0.941047071	0.030024542	0.010822222	0.007165442	0.989177778	0.007165442	0.087635504	0.05323796
AAnew_TSS	100	800	abundant	1	0.7624125	0.034293121	0.036289346	0.017995482	0.0535	0.026476595	0.042632007	0.020444622	0.158819444	0.039089477	0.841180556	0.039089477	0.963710654	0.017995482
AAnew_TSS	100	800	abundant	2	0.8216	0.024467227	0.211512889	0.04761902	0.280625	0.073584603	0.238318073	0.051728471	0.118291667	0.029372739	0.881708333	0.029372739	0.788487111	0.04761902
AAnew_TSS	100	800	abundant	5	0.913125	0.018640251	0.555268635	0.071610122	0.774	0.074549997	0.642679734	0.055833372	0.071416667	0.021299206	0.928583333	0.021299206	0.444731365	0.071610122
AAnew_TSS	100	800	abundant	10	0.9451375	0.014914418	0.669775179	0.070157121	0.921625	0.03920191	0.773223182	0.048353933	0.05225	0.016922812	0.94775	0.016922812	0.330224821	0.070157121
AAnew_TSS	100	1000	abundant	1	0.74919	0.030969746	0.03671873	0.01535896	0.0604	0.028952068	0.045197322	0.019321248	0.174277778	0.035857436	0.825722222	0.035857436	0.96328127	0.01535896
AAnew_TSS	100	1000	abundant	2	0.82299	0.025238457	0.209232151	0.044315532	0.2676	0.061235099	0.231874291	0.04419887	0.1153	0.030362919	0.8847	0.030362919	0.790767849	0.044315532
AAnew_TSS	100	1000	abundant	5	0.90995	0.019011095	0.54248108	0.070121599	0.7778	0.066660303	0.635810912	0.055458951	0.075366667	0.021426875	0.924633333	0.021426875	0.45751892	0.070121599
AAnew_TSS	100	1000	abundant	10	0.94847	0.012482274	0.683565822	0.061748132	0.9241	0.038483763	0.783809911	0.042020108	0.048822222	0.0142544	0.951177778	0.0142544	0.316434178	0.061748132
AAnew_TSS	100	2000	abundant	1	0.70581	0.034925663	0.045006597	0.013008317	0.096	0.031940601	0.060868131	0.017646464	0.226433333	0.04039887	0.773566667	0.04039887	0.954993403	0.013008317
AAnew_TSS	100	2000	abundant	2	0.77609	0.02693983	0.153709037	0.025762923	0.27215	0.0605499	0.194850119	0.032663655	0.167916667	0.033007987	0.832083333	0.033007987	0.846290963	0.025762923
AAnew_TSS	100	2000	abundant	5	0.87095	0.020441898	0.421146703	0.05238669	0.7213	0.070376405	0.529480606	0.049415153	0.112422222	0.02336945	0.887577778	0.02336945	0.578853297	0.05238669
AAnew_TSS	100	2000	abundant	10	0.912805	0.018626159	0.545654	0.058392839	0.8871	0.040739255	0.673348811	0.045799474	0.084338889	0.021424907	0.915661111	0.021424907	0.454346	0.058392839
ALDEx2_wi	100	100	abundant	1	0.988994505	0.000173402	0	0	0	0	0	0	1.67E-05	0.000175329	0.999983333	0.000175329	0.01	0.099748427
ALDEx2_wi	100	100	abundant	10	0.978027473	0.003858161	0.293198925	0.058572526	0.6935	0.154033704	0.409298301	0.077479773	0.018811111	0.003932727	0.981188889	0.003932727	0.706801075	0.058572526
ALDEx2_wi	100	100	abundant	2	0.987653846	0.002536155	0.402464258	0.213181503	0.2265	0.12817917	0.281032712	0.146477651	0.003888889	0.001973835	0.996111111	0.001973835	0.597535742	0.213181503
ALDEx2_wi	100	100	abundant	5	0.983549451	0.003748733	0.342644047	0.096421763	0.5025	0.144039881	0.401747011	0.103642595	0.011105556	0.003668261	0.988894444	0.003668261	0.657355953	0.096421763
ALDEx2_wi	100	1000	abundant	1	0.9	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	1000	abundant	10	0.88575	0.006608773	0.403179273	0.043764091	0.297	0.043583225	0.341272862	0.042111591	0.048833333	0.005804848	0.951166667	0.005804848	0.596820727	0.043764091
ALDEx2_wi	100	1000	abundant	2	0.899275	0.002042113	0.328557928	0.319209779	0.01395	0.015784271	0.02623351	0.02892328	0.002355556	0.002479671	0.997644444	0.002479671	0.461442072	0.360472999
ALDEx2_wi	100	1000	abundant	5	0.89064	0.006126013	0.399083664	0.065678132	0.18585	0.041628622	0.252306767	0.049505631	0.03105	0.005792488	0.96895	0.005792488	0.600916336	0.065678132
ALDEx2_wi	100	200	abundant	1	0.978255435	7.69E-05	0	0	0	0	0	0	5.56E+06	7.86E-05	0.999994444	7.86E-05	0.005	0.070710678
ALDEx2_wi	100	200	abundant	10	0.966923913	0.004069223	0.360056374	0.045910563	0.664	0.102009951	0.465416006	0.058202099	0.026344444	0.003913878	0.973655556	0.003913878	0.639943626	0.045910563
ALDEx2_wi	100	200	abundant	2	0.976902174	0.002416422	0.372481421	0.23881305	0.10625	0.076338558	0.159343174	0.107005662	0.00375	0.002195364	0.99625	0.002195364	0.607518579	0.248507621
ALDEx2_wi	100	200	abundant	5	0.971663043	0.003973255	0.380189752	0.068675582	0.475	0.113310176	0.418700124	0.079117457	0.0173	0.003976652	0.9827	0.003976652	0.619810248	0.068675582
ALDEx2_wi	100	2000	abundant	1	0.818181818	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	2000	abundant	10	0.800463636	0.007985821	0.399291931	0.045353048	0.194175	0.028610087	0.260891347	0.034421499	0.064805556	0.006882724	0.935194444	0.006882724	0.600708069	0.045353048
ALDEx2_wi	100	2000	abundant	2	0.817286364	0.002034785	0.276064035	0.296505781	0.007625	0.009430218	0.014645732	0.017812244	0.002788889	0.00306067	0.997211111	0.00306067	0.458935965	0.369621783
ALDEx2_wi	100	2000	abundant	5	0.807345455	0.006584852	0.398878199	0.060076651	0.118675	0.02679476	0.182106871	0.036733979	0.039616667	0.007260537	0.960383333	0.007260537	0.601121801	0.060076651
ALDEx2_wi	100	300	abundant	1	0.967741935	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	300	abundant	10	0.956155914	0.005089829	0.380270285	0.04916624	0.5635	0.086083432	0.452642447	0.058082672	0.030755556	0.00463275	0.969244444	0.00463275	0.619729715	0.04916624
ALDEx2_wi	100	300	abundant	2	0.966892473	0.002152131	0.38273	0.280253775	0.061166667	0.052068063	0.101136225	0.079998426	0.002916667	0.002345644	0.997083333	0.002345644	0.53727	0.301608198
ALDEx2_wi	100	300	abundant	5	0.960994624	0.004473158	0.394534918	0.067705294	0.3895	0.091123486	0.389188464	0.073667188	0.019955556	0.004060526	0.980044444	0.004060526	0.605465082	0.067705294
ALDEx2_wi	100	400	abundant	1	0.957446809	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	400	abundant	10	0.942606383	0.005590481	0.385208301	0.039735884	0.57875	0.072973028	0.461352249	0.046702263	0.041222222	0.005524761	0.958777778	0.005524761	0.614791699	0.039735884
ALDEx2_wi	100	400	abundant	2	0.956361702	0.002471335	0.365966004	0.277799082	0.050375	0.045146154	0.084977111	0.071483451	0.003372222	0.002792263	0.996627778	0.002792263	0.524033996	0.307647823
ALDEx2_wi	100	400	abundant	5	0.947632979	0.005828239	0.384323156	0.064829894	0.381	0.088583209	0.379799724	0.07109682	0.027183333	0.005658869	0.972816667	0.005658869	0.615676844	0.064829894
ALDEx2_wi	100	500	abundant	1	0.947357895	0.000148865	0	0	0	0	0	0	1.11E-05	0.000157135	0.999988889	0.000157135	0.005	0.070710678
ALDEx2_wi	100	500	abundant	10	0.928557895	0.006735842	0.380863591	0.040165473	0.566	0.065186243	0.45455772	0.046151373	0.0513	0.005985186	0.9487	0.005985186	0.619136409	0.040165473
ALDEx2_wi	100	500	abundant	2	0.945778947	0.002422513	0.370264656	0.209095812	0.0565	0.041355792	0.094931069	0.064030946	0.004816667	0.003089495	0.995183333	0.003089495	0.604735344	0.222738147
ALDEx2_wi	100	500	abundant	5	0.934978947	0.006365589	0.382755524	0.05759058	0.38	0.078759222	0.378711953	0.061677632	0.034188889	0.006697963	0.965811111	0.006697963	0.617244476	0.05759058
ALDEx2_wi	100	800	abundant	1	0.918367347	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	800	abundant	10	0.906010204	0.006897109	0.399672559	0.056256654	0.3015625	0.049936164	0.343053578	0.051138832	0.040261111	0.005144452	0.959738889	0.005144452	0.600327441	0.056256654
ALDEx2_wi	100	800	abundant	2	0.917811224	0.001990976	0.287250999	0.320359118	0.0164375	0.020764953	0.030459597	0.037605412	0.002066667	0.002272027	0.997933333	0.002272027	0.422749001	0.37699051
ALDEx2_wi	100	800	abundant	5	0.91044898	0.005807761	0.398004874	0.07341559	0.1870625	0.044134216	0.252968086	0.052899056	0.02525	0.005294172	0.97475	0.005294172	0.601995126	0.07341559
Corncob	100	100	abundant	1	0.988972527	0.000230494	0.0075	0.078897873	0.0015	0.015779575	0.002337662	0.023892301	5.56E-05	0.000267104	0.999944444	0.000267104	0.0425	0.199102887
Corncob	100	100	abundant	10	0.959851648	0.008850288	0.199052369	0.038193891	0.841	0.138618453	0.319485141	0.053134306	0.038827778	0.009538125	0.961172222	0.009538125	0.800947631	0.038193891
Corncob	100	100	abundant	2	0.986989011	0.003001772	0.343981505	0.234543889	0.1735	0.124196918	0.2171347	0.141838212	0.003972222	0.002977338	0.996027778	0.002977338	0.636018495	0.246740605
Corncob	100	100	abundant	5	0.974175824	0.007416381	0.258266753	0.070688333	0.652	0.157543964	0.362947801	0.082045058	0.022244444	0.008008433	0.977755556	0.008008433	0.741733247	0.070688333
Corncob	100	1000	abundant	1	0.899985	0.000157796	0	0	0	0	0	0	1.67E-05	0.000175329	0.999983333	0.000175329	0.01	0.099748427
Corncob	100	1000	abundant	10	0.878875	0.008402523	0.38692513	0.041315109	0.35935	0.055084015	0.371270933	0.044022121	0.0634	0.00925049	0.9366	0.00925049	0.61307487	0.041315109
Corncob	100	1000	abundant	2	0.899315	0.002085069	0.370800103	0.304321262	0.0176	0.016172438	0.033057604	0.029568899	0.002716667	0.002469989	0.997283333	0.002469989	0.489199897	0.330561186
Corncob	100	1000	abundant	5	0.88985	0.006466574	0.396322229	0.064804167	0.1956	0.047517677	0.260174697	0.053272472	0.033011111	0.006719122	0.966988889	0.006719122	0.603677771	0.064804167
Corncob	100	200	abundant	1	0.978217391	0.000323986	0.0075	0.078897873	0.001	0.011163472	0.001630037	0.017621556	6.67E-05	0.000396022	0.999933333	0.000396022	0.0325	0.174199533
Corncob	100	200	abundant	10	0.950516304	0.010633183	0.272234602	0.049200496	0.7215	0.105443547	0.392205886	0.058277912	0.044394444	0.011339527	0.955605556	0.011339527	0.727765398	0.049200496
Corncob	100	200	abundant	2	0.976722826	0.002622672	0.3509614	0.249891581	0.0875	0.066262384	0.134696345	0.096884532	0.003516667	0.00252238	0.996483333	0.00252238	0.6140386	0.267768135
Corncob	100	200	abundant	5	0.966891304	0.006279493	0.332437078	0.066960304	0.48675	0.112918957	0.389609712	0.071169371	0.022438889	0.006937275	0.977561111	0.006937275	0.667562922	0.066960304
Corncob	100	2000	abundant	1	0.818181818	0	0	0	0	0	0	0	0	0	1	0	0	0
Corncob	100	2000	abundant	10	0.791559091	0.00913574	0.39340448	0.035087557	0.27	0.033355102	0.319614479	0.03281262	0.092538889	0.010082098	0.907461111	0.010082098	0.60659552	0.035087557
Corncob	100	2000	abundant	2	0.817036364	0.002070721	0.351189623	0.25840887	0.011625	0.011241272	0.022189332	0.020861512	0.003983333	0.003087486	0.996016667	0.003087486	0.563810377	0.291442492
