name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
AAnew_TSS	50	100	abundant	1	0.8336	0.033166857	0.034910714	0.116520818	0.019	0.04648232	0.022195715	0.054019381	0.075888889	0.036187392	0.924111111	0.036187392	0.965089286	0.116520818
AAnew_TSS	50	100	abundant	2	0.8937	0.029904055	0.484198819	0.164506303	0.425	0.15594288	0.440859352	0.142423916	0.054222222	0.028482858	0.945777778	0.028482858	0.515801181	0.164506303
AAnew_TSS	50	100	abundant	5	0.9531	0.036395554	0.72966052	0.165660418	0.956	0.076962538	0.817343422	0.119975876	0.047222222	0.03879257	0.952777778	0.03879257	0.27033948	0.165660418
AAnew_TSS	50	100	abundant	10	0.9802	0.017348478	0.855793275	0.112531873	0.99	0.030151134	0.91398494	0.069740555	0.020888889	0.018704787	0.979111111	0.018704787	0.144206725	0.112531873
AAnew_TSS	50	200	abundant	1	0.80645	0.02839383	0.039797969	0.047308986	0.0405	0.048562674	0.039084281	0.045673299	0.108444444	0.031816204	0.891555556	0.031816204	0.960202031	0.047308986
AAnew_TSS	50	200	abundant	2	0.8646	0.026464003	0.33681646	0.110886749	0.332	0.107195658	0.329059632	0.099210227	0.076222222	0.02647424	0.923777778	0.02647424	0.66318354	0.110886749
AAnew_TSS	50	200	abundant	5	0.95005	0.022230371	0.721511548	0.105765248	0.8655	0.076440708	0.780888546	0.074053997	0.040555556	0.024763503	0.959444444	0.024763503	0.278488452	0.105765248
AAnew_TSS	50	200	abundant	10	0.9712	0.026074098	0.817547175	0.119450813	0.9635	0.041350314	0.878567048	0.078677379	0.027944444	0.029380847	0.972055556	0.029380847	0.182452825	0.119450813
AAnew_TSS	50	300	abundant	1	0.783066667	0.031511422	0.045354346	0.034437272	0.059666667	0.044011783	0.050868679	0.037717482	0.136555556	0.036069114	0.863444444	0.036069114	0.954645654	0.034437272
AAnew_TSS	50	300	abundant	2	0.8499	0.029076527	0.305382802	0.084313743	0.359333333	0.102338537	0.323844354	0.079007267	0.095592593	0.03290743	0.904407407	0.03290743	0.694617198	0.084313743
AAnew_TSS	50	300	abundant	5	0.933333333	0.028485923	0.646900202	0.109579097	0.832666667	0.084084827	0.720827308	0.08149617	0.055481481	0.031214532	0.944518519	0.031214532	0.353099798	0.109579097
AAnew_TSS	50	300	abundant	10	0.9666	0.015366674	0.78518866	0.086544927	0.937	0.053159439	0.85141852	0.060084645	0.030111111	0.016119634	0.969888889	0.016119634	0.21481134	0.086544927
AAnew_TSS	50	400	abundant	1	0.78625	0.027962141	0.045130549	0.032499353	0.0585	0.046223546	0.0502353	0.03699133	0.132888889	0.03254952	0.867111111	0.03254952	0.954869451	0.032499353
AAnew_TSS	50	400	abundant	2	0.85185	0.021926242	0.308660646	0.069695618	0.37175	0.087664348	0.33396664	0.06859803	0.094805556	0.023965876	0.905194444	0.023965876	0.691339354	0.069695618
AAnew_TSS	50	400	abundant	5	0.935925	0.017708552	0.645879936	0.077898646	0.84325	0.071849221	0.727220187	0.056662289	0.053777778	0.020387657	0.946222222	0.020387657	0.354120064	0.077898646
AAnew_TSS	50	400	abundant	10	0.966225	0.012550378	0.778369464	0.074978591	0.9425	0.038517345	0.850214927	0.04786365	0.031138889	0.013825867	0.968861111	0.013825867	0.221630536	0.074978591
AAnew_TSS	50	500	abundant	1	0.7808	0.030724583	0.039603381	0.025212183	0.0532	0.037305184	0.04467939	0.028726147	0.138355556	0.035844254	0.861644444	0.035844254	0.960396619	0.025212183
AAnew_TSS	50	500	abundant	2	0.8507	0.022774033	0.309678158	0.066581972	0.3836	0.081470327	0.33957919	0.065860588	0.0974	0.025189255	0.9026	0.025189255	0.690321842	0.066581972
AAnew_TSS	50	500	abundant	5	0.93426	0.02058077	0.639543539	0.086987559	0.841	0.060661338	0.722834367	0.065186477	0.055377778	0.021877643	0.944622222	0.021877643	0.360456461	0.086987559
AAnew_TSS	50	500	abundant	10	0.96416	0.011251684	0.765503457	0.06645364	0.939	0.040539294	0.84137034	0.04344782	0.033044444	0.012585282	0.966955556	0.012585282	0.234496543	0.06645364
AAnew_TSS	50	800	abundant	1	0.676675	0.028318969	0.043227109	0.01434995	0.10625	0.03820879	0.061249791	0.02052727	0.259944444	0.032713037	0.740055556	0.032713037	0.956772891	0.01434995
AAnew_TSS	50	800	abundant	2	0.7488125	0.025174501	0.151927636	0.029462241	0.33	0.078536166	0.207187241	0.041126941	0.204652778	0.030126163	0.795347222	0.030126163	0.848072364	0.029462241
AAnew_TSS	50	800	abundant	5	0.835825	0.023083224	0.352655306	0.035321054	0.746125	0.07414698	0.477245014	0.038891599	0.154208333	0.028202045	0.845791667	0.028202045	0.647344694	0.035321054
AAnew_TSS	50	800	abundant	10	0.8813375	0.02102657	0.456433064	0.040865928	0.8705	0.053904377	0.596837985	0.035596553	0.117458333	0.025917849	0.882541667	0.025917849	0.543566936	0.040865928
AAnew_TSS	50	1000	abundant	1	0.68205	0.02670466	0.043051464	0.013253918	0.1045	0.040110328	0.060764912	0.019779623	0.253777778	0.032085122	0.746222222	0.032085122	0.956948536	0.013253918
AAnew_TSS	50	1000	abundant	2	0.74345	0.02322067	0.148175779	0.022690299	0.33	0.066938838	0.203808785	0.03236812	0.210611111	0.028812978	0.789388889	0.028812978	0.851824221	0.022690299
AAnew_TSS	50	1000	abundant	5	0.83463	0.019806975	0.34785804	0.0331095	0.732	0.072292895	0.470239267	0.037753714	0.153966667	0.023889348	0.846033333	0.023889348	0.65214196	0.0331095
AAnew_TSS	50	1000	abundant	10	0.88105	0.014354371	0.453248517	0.032905095	0.8643	0.05152728	0.593322033	0.029319443	0.117088889	0.018101555	0.882911111	0.018101555	0.546751483	0.032905095
AAnew_TSS	50	2000	abundant	1	0.6405	0.023761441	0.049533515	0.011271864	0.1433	0.037707138	0.07349798	0.017143381	0.304255556	0.027839126	0.695744444	0.027839126	0.950466485	0.011271864
AAnew_TSS	50	2000	abundant	2	0.70297	0.019124898	0.128786644	0.01540353	0.3424	0.053970999	0.186871736	0.023376607	0.256966667	0.023652673	0.743033333	0.023652673	0.871213356	0.01540353
AAnew_TSS	50	2000	abundant	5	0.78908	0.016139343	0.277462498	0.021439741	0.6872	0.050971967	0.394903541	0.027258844	0.1996	0.018003284	0.8004	0.018003284	0.722537502	0.021439741
AAnew_TSS	50	2000	abundant	10	0.84182	0.014651597	0.369914306	0.024342157	0.8157	0.048731484	0.508294082	0.02644625	0.155277778	0.017555872	0.844722222	0.017555872	0.630085694	0.024342157
ALDEx2_wi	50	100	abundant	1	0.988983516	0.000204253	0	0	0	0	0	0	2.78E-05	0.000206522	0.999972222	0.000206522	0.02	0.140351318
ALDEx2_wi	50	100	abundant	10	0.984082418	0.003377581	0.35521727	0.092536029	0.5135	0.145165821	0.414003229	0.098757987	0.010688889	0.003337165	0.989311111	0.003337165	0.64478273	0.092536029
ALDEx2_wi	50	100	abundant	2	0.988516484	0.0014011	0.230186508	0.33775481	0.061	0.092855321	0.090580335	0.130470443	0.001177778	0.001398554	0.998822222	0.001398554	0.429813492	0.426957325
ALDEx2_wi	50	100	abundant	5	0.985879121	0.002857419	0.366846788	0.117862129	0.372	0.129614814	0.365117038	0.114514281	0.0073	0.002356391	0.9927	0.002356391	0.633153212	0.117862129
ALDEx2_wi	50	1000	abundant	1	0.9	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	50	1000	abundant	10	0.89268	0.006225059	0.410760543	0.074344665	0.16565	0.037678586	0.234861447	0.04801863	0.026538889	0.005606331	0.973461111	0.005606331	0.589239457	0.074344665
ALDEx2_wi	50	1000	abundant	2	0.899885	0.000751397	0.101583333	0.265878218	0.0022	0.005772922	0.004273654	0.011171574	0.000372222	0.000886075	0.999627778	0.000886075	0.153416667	0.330909519
ALDEx2_wi	50	1000	abundant	5	0.89642	0.00367028	0.396837038	0.116123391	0.07125	0.02985623	0.119402396	0.04567551	0.011894444	0.00386797	0.988105556	0.00386797	0.603162962	0.116123391
ALDEx2_wi	50	200	abundant	1	0.97826087	0.000108968	0.005	0.070710678	0.00025	0.003535534	0.00047619	0.00673435	5.56E+06	7.86E-05	0.999994444	7.86E-05	0.005	0.070710678
ALDEx2_wi	50	200	abundant	10	0.971994565	0.004387217	0.381248355	0.080140191	0.453	0.116118117	0.410579801	0.087945943	0.016472222	0.003910465	0.983527778	0.003910465	0.618751645	0.080140191
ALDEx2_wi	50	200	abundant	2	0.97798913	0.001372959	0.240637446	0.371693253	0.02525	0.039148442	0.044030205	0.066586557	0.000838889	0.001419938	0.999161111	0.001419938	0.299362554	0.406577386
ALDEx2_wi	50	200	abundant	5	0.975331522	0.003602881	0.404098182	0.120771258	0.2875	0.108409006	0.331116291	0.1085177	0.009383333	0.002931688	0.990616667	0.002931688	0.595901818	0.120771258
ALDEx2_wi	50	2000	abundant	1	0.818181818	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	50	2000	abundant	10	0.80895	0.006250776	0.402449607	0.065075906	0.104	0.022612088	0.16463117	0.032634189	0.034394444	0.006546751	0.965605556	0.006546751	0.597550393	0.065075906
ALDEx2_wi	50	2000	abundant	2	0.818004545	0.000813613	0.091464286	0.251220233	0.000925	0.002459598	0.001820353	0.004818842	0.000422222	0.001160595	0.999577778	0.001160595	0.158535714	0.337146791
ALDEx2_wi	50	2000	abundant	5	0.813568182	0.004228745	0.376744733	0.115139019	0.04265	0.019387026	0.0760128	0.032796596	0.015116667	0.004903558	0.984883333	0.004903558	0.623255267	0.115139019
ALDEx2_wi	50	300	abundant	1	0.967741935	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	50	300	abundant	10	0.96122043	0.004730885	0.391309752	0.07767399	0.3635	0.093124767	0.374124318	0.080585014	0.018855556	0.00409865	0.981144444	0.00409865	0.608690248	0.07767399
ALDEx2_wi	50	300	abundant	2	0.967564516	0.000944545	0.1225	0.29208214	0.007333333	0.017091732	0.013504358	0.031014382	0.000427778	0.001048945	0.999572222	0.001048945	0.1625	0.337721328
ALDEx2_wi	50	300	abundant	5	0.964650538	0.003649102	0.393048799	0.129096802	0.181333333	0.076322511	0.244195768	0.091659256	0.009238889	0.003143837	0.990761111	0.003143837	0.606951201	0.129096802
ALDEx2_wi	50	400	abundant	1	0.957446809	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	50	400	abundant	10	0.948909574	0.0053638	0.391484551	0.065835738	0.3575	0.077044985	0.371401774	0.06666223	0.024805556	0.004893477	0.975194444	0.004893477	0.608515449	0.065835738
ALDEx2_wi	50	400	abundant	2	0.957207447	0.000968329	0.127301587	0.295322714	0.007125	0.01725101	0.013013428	0.030479132	0.000566667	0.001230292	0.999433333	0.001230292	0.202698413	0.371463628
ALDEx2_wi	50	400	abundant	5	0.953585106	0.004054536	0.399490946	0.106992987	0.188875	0.070786035	0.252936452	0.082101607	0.012427778	0.003742897	0.987572222	0.003742897	0.600509054	0.106992987
ALDEx2_wi	50	500	abundant	1	0.947363158	7.44E-05	0	0	0	0	0	0	5.56E+06	7.86E-05	0.999994444	7.86E-05	0.005	0.070710678
ALDEx2_wi	50	500	abundant	10	0.9372	0.005869292	0.396806861	0.057299954	0.3658	0.069848076	0.378526911	0.057757759	0.031055556	0.005760863	0.968944444	0.005760863	0.603193139	0.057299954
ALDEx2_wi	50	500	abundant	2	0.947094737	0.001107986	0.164847222	0.291648466	0.0092	0.018027338	0.016925881	0.032060399	8.00E-04	0.001465783	0.9992	0.001465783	0.250152778	0.36771368
ALDEx2_wi	50	500	abundant	5	0.941736842	0.004328871	0.388717722	0.088121073	0.1888	0.061624246	0.251085948	0.069115593	0.016433333	0.00425852	0.983566667	0.00425852	0.611282278	0.088121073
ALDEx2_wi	50	800	abundant	1	0.918367347	0	0	0	0	0	0	0	0	0	1	0	0	0
