name	Sample	OTU	type	effect	mean_Precision	mean_TPR
AAnew_TSS	100	500	rare	5	0.62429612	0.9008
AAnew_TSS	200	500	rare	5	0.781566118	0.968
AAnew_TSS	300	500	rare	5	0.857529045	0.9874
AAnew_TSS	500	500	rare	5	0.895304318	0.9978
AAnew_TSS	20	500	rare	10	0.283080849	0.749166667
AAnew_TSS	50	500	rare	10	0.478364326	0.9422
AAnew_TSS	100	500	rare	10	0.644736877	0.981
AAnew_TSS	200	500	rare	10	0.80440188	0.9992
AAnew_TSS	300	500	rare	10	0.864029175	0.9998
AAnew_TSS	500	500	rare	10	0.913168685	1
AAnew_TSS	20	800	rare	1	0.101012386	0.266836735
AAnew_TSS	50	800	rare	1	0.139425304	0.337
AAnew_TSS	100	800	rare	1	0.148901977	0.21925
AAnew_TSS	200	800	rare	1	0.146910073	0.15225
AAnew_TSS	300	800	rare	1	0.156938339	0.147
AAnew_TSS	500	800	rare	1	0.168193963	0.124625
AAnew_TSS	20	800	rare	2	0.132436462	0.352925532
AAnew_TSS	50	800	rare	2	0.193854228	0.50275
AAnew_TSS	100	800	rare	2	0.261175342	0.468875
AAnew_TSS	200	800	rare	2	0.358540333	0.481375
AAnew_TSS	300	800	rare	2	0.428321526	0.523125
AAnew_TSS	500	800	rare	2	0.533570218	0.618625
AAnew_TSS	20	800	rare	5	0.161189192	0.436597938
AAnew_TSS	50	800	rare	5	0.262157349	0.732625
AAnew_TSS	100	800	rare	5	0.380231424	0.810375
AAnew_TSS	200	800	rare	5	0.522740086	0.909625
AAnew_TSS	300	800	rare	5	0.583479479	0.965
AAnew_TSS	500	800	rare	5	0.640342414	0.996875
AAnew_TSS	20	800	rare	10	0.180525213	0.508104396
AAnew_TSS	50	800	rare	10	0.287959344	0.827375
AAnew_TSS	100	800	rare	10	0.419417469	0.913
AAnew_TSS	200	800	rare	10	0.521905139	0.981875
AAnew_TSS	300	800	rare	10	0.586099086	0.996625
AAnew_TSS	500	800	rare	10	0.640862048	0.999625
AAnew_TSS	20	1000	rare	1	0.096879996	0.24755102
AAnew_TSS	50	1000	rare	1	0.136461668	0.3296
