name	Sample	OTU	type	effect	mean_TPR	mean_FPR
AAnew_TSS	100	500	rare	5	0.9008	0.014989744
AAnew_TSS	200	500	rare	5	0.968	0.007317949
AAnew_TSS	300	500	rare	5	0.9874	0.004435897
AAnew_TSS	500	500	rare	5	0.9978	0.003235897
AAnew_TSS	20	500	rare	10	0.749166667	0.049706197
AAnew_TSS	50	500	rare	10	0.9422	0.027302564
AAnew_TSS	100	500	rare	10	0.981	0.014851282
AAnew_TSS	200	500	rare	10	0.9992	0.006692308
AAnew_TSS	300	500	rare	10	0.9998	0.004251282
AAnew_TSS	500	500	rare	10	1	0.002594872
AAnew_TSS	20	800	rare	1	0.266836735	0.09914966
AAnew_TSS	50	800	rare	1	0.337	0.087067708
AAnew_TSS	100	800	rare	1	0.21925	0.052786458
AAnew_TSS	200	800	rare	1	0.15225	0.036807292
AAnew_TSS	300	800	rare	1	0.147	0.033640625
AAnew_TSS	500	800	rare	1	0.124625	0.026015625
AAnew_TSS	20	800	rare	2	0.352925532	0.096559176
AAnew_TSS	50	800	rare	2	0.50275	0.087729167
AAnew_TSS	100	800	rare	2	0.468875	0.057401042
AAnew_TSS	200	800	rare	2	0.481375	0.037833333
AAnew_TSS	300	800	rare	2	0.523125	0.030921875
AAnew_TSS	500	800	rare	2	0.618625	0.025140625
AAnew_TSS	20	800	rare	5	0.436597938	0.095226589
AAnew_TSS	50	800	rare	5	0.732625	0.08671875
AAnew_TSS	100	800	rare	5	0.810375	0.057151042
AAnew_TSS	200	800	rare	5	0.909625	0.036604167
AAnew_TSS	300	800	rare	5	0.965	0.030567708
AAnew_TSS	500	800	rare	5	0.996875	0.025036458
AAnew_TSS	20	800	rare	10	0.508104396	0.096703297
AAnew_TSS	50	800	rare	10	0.827375	0.086052083
AAnew_TSS	100	800	rare	10	0.913	0.054276042
AAnew_TSS	200	800	rare	10	0.981875	0.039651042
AAnew_TSS	300	800	rare	10	0.996625	0.031151042
AAnew_TSS	500	800	rare	10	0.999625	0.025265625
AAnew_TSS	20	1000	rare	1	0.24755102	0.121611171
AAnew_TSS	50	1000	rare	1	0.3296	0.1108
AAnew_TSS	100	1000	rare	1	0.2343	0.071768421
AAnew_TSS	200	1000	rare	1	0.1577	0.046884211
AAnew_TSS	300	1000	rare	1	0.1337	0.037115789
AAnew_TSS	500	1000	rare	1	0.1157	0.028036842
AAnew_TSS	20	1000	rare	2	0.327604167	0.121310307
AAnew_TSS	50	1000	rare	2	0.5013	0.113184211
AAnew_TSS	100	1000	rare	2	0.4881	0.070094737
AAnew_TSS	200	1000	rare	2	0.4905	0.049305263
AAnew_TSS	300	1000	rare	2	0.5185	0.036952632
AAnew_TSS	500	1000	rare	2	0.6222	0.030805263
AAnew_TSS	20	1000	rare	5	0.436666667	0.121244518
AAnew_TSS	50	1000	rare	5	0.722	0.112684211
AAnew_TSS	100	1000	rare	5	0.8197	0.066336842
AAnew_TSS	200	1000	rare	5	0.9213	0.048436842
AAnew_TSS	300	1000	rare	5	0.9618	0.035410526
AAnew_TSS	500	1000	rare	5	0.9922	0.028489474
AAnew_TSS	20	1000	rare	10	0.512210526	0.12299169
AAnew_TSS	50	1000	rare	10	0.8074	0.110584211
AAnew_TSS	100	1000	rare	10	0.9167	0.070168421
AAnew_TSS	200	1000	rare	10	0.9785	0.044673684
AAnew_TSS	300	1000	rare	10	0.9939	0.034736842
AAnew_TSS	500	1000	rare	10	0.9997	0.027310526
AAnew_TSS	20	2000	rare	1	0.197765957	0.237174941
AAnew_TSS	50	2000	rare	1	0.3545	0.280488889
AAnew_TSS	100	2000	rare	1	0.282	0.200216667
AAnew_TSS	200	2000	rare	1	0.2492	0.161872222
AAnew_TSS	300	2000	rare	1	0.2267	0.139044444
AAnew_TSS	500	2000	rare	1	0.19665	0.109061111
AAnew_TSS	20	2000	rare	2	0.253092784	0.236586483
AAnew_TSS	50	2000	rare	2	0.4737	0.281822222
AAnew_TSS	100	2000	rare	2	0.489	0.193983333
AAnew_TSS	200	2000	rare	2	0.55275	0.1616
AAnew_TSS	300	2000	rare	2	0.59225	0.13535
AAnew_TSS	500	2000	rare	2	0.6645	0.105011111
AAnew_TSS	20	2000	rare	5	0.311875	0.234178241
AAnew_TSS	50	2000	rare	5	0.6072	0.2801
AAnew_TSS	100	2000	rare	5	0.7337	0.204461111
AAnew_TSS	200	2000	rare	5	0.8772	0.155538889
AAnew_TSS	300	2000	rare	5	0.94065	0.134833333
AAnew_TSS	500	2000	rare	5	0.98215	0.10695
AAnew_TSS	20	2000	rare	10	0.356263158	0.231719298
AAnew_TSS	50	2000	rare	10	0.6742	0.28305
AAnew_TSS	100	2000	rare	10	0.8085	0.204211111
AAnew_TSS	200	2000	rare	10	0.9343	0.155211111
AAnew_TSS	300	2000	rare	10	0.976	0.129461111
AAnew_TSS	500	2000	rare	10	0.9961	0.110416667
ALDEx2_wi	100	100	rare	1	0	1.11E-05
ALDEx2_wi	100	100	rare	10	0.1295	0.003422222
ALDEx2_wi	100	100	rare	2	0.004	0.000122222
ALDEx2_wi	100	100	rare	5	0.072	0.001894444
ALDEx2_wi	20	100	rare	1	0	1.11E-05
ALDEx2_wi	20	100	rare	10	0.0045	0.000144444
ALDEx2_wi	20	100	rare	2	0	1.67E-05
ALDEx2_wi	20	100	rare	5	0	4.44E-05
ALDEx2_wi	200	100	rare	1	0	0
ALDEx2_wi	200	100	rare	10	0.1825	0.005722222
ALDEx2_wi	200	100	rare	2	0.0335	0.000605556
ALDEx2_wi	200	100	rare	5	0.123	0.003666667
ALDEx2_wi	300	100	rare	1	0	5.56E-06
ALDEx2_wi	300	100	rare	10	0.225	0.008327778
ALDEx2_wi	300	100	rare	2	0.049	0.001194444
ALDEx2_wi	300	100	rare	5	0.1585	0.004766667
ALDEx2_wi	50	100	rare	1	0	0
ALDEx2_wi	50	100	rare	10	0.051	0.001522222
ALDEx2_wi	50	100	rare	2	5.00E-04	3.89E-05
ALDEx2_wi	50	100	rare	5	0.0185	0.000561111
ALDEx2_wi	500	100	rare	1	0	1.11E-05
ALDEx2_wi	500	100	rare	10	0.2405	0.013844444
ALDEx2_wi	500	100	rare	2	0.078	0.002138889
ALDEx2_wi	500	100	rare	5	0.1995	0.0074
ALDEx2_wi	100	1000	rare	1	0	0
ALDEx2_wi	100	1000	rare	10	0	0
ALDEx2_wi	100	1000	rare	2	0	0
ALDEx2_wi	100	1000	rare	5	0	5.56E-06
ALDEx2_wi	20	1000	rare	1	0	0
ALDEx2_wi	20	1000	rare	10	0	0
ALDEx2_wi	20	1000	rare	2	0	0
ALDEx2_wi	20	1000	rare	5	0	0
