name	Sample	OTU	effect	mean_TPR	mean_FPR
RLE	50	500	5	0.7472	0.01325641
RLE	50	500	10	0.8862	0.008461538
GMPR	50	500	1	0.0704	0.03214359
GMPR	50	500	2	0.359	0.021235897
GMPR	50	500	5	0.8218	0.012625641
GMPR	50	500	10	0.9262	0.007328205
CLR	50	500	1	0.606	0.123117949
CLR	50	500	2	0.7296	0.108333333
CLR	50	500	5	0.8336	0.074194872
CLR	50	500	10	0.8936	0.055989744
ALR	50	500	1	0.0928	0.026948718
ALR	50	500	2	0.161	0.020958974
ALR	50	500	5	0.2734	0.012928205
ALR	50	500	10	0.4194	0.010533333
TSS	50	500	1	0.0532	0.138355556
TSS	50	500	2	0.3836	0.0974
TSS	50	500	5	0.841	0.055377778
TSS	50	500	10	0.939	0.033044444
ALR	500	1000	1	0.056	0.032710526
ALR	500	1000	2	0.1094	0.0218
ALR	500	1000	5	0.2565	0.013826316
ALR	500	1000	10	0.4463	0.009021053
wrench	500	1000	1	0.0144	0.020878947
wrench	500	1000	2	0.404	0.0236
wrench	500	1000	5	0.998	0.052342105
wrench	500	1000	10	1	0.070857895
TMM	500	1000	1	0.0157	0.028426316
TMM	500	1000	2	0.1635	0.013068421
TMM	500	1000	5	0.8463	0.004057895
TMM	500	1000	10	0.9785	0.001763158
RLE	500	1000	1	0.0173	0.015257895
RLE	500	1000	2	0.1836	0.008189474
RLE	500	1000	5	0.7867	0.005610526
RLE	500	1000	10	0.9472	0.002142105
GMPR	500	1000	1	0.0109	0.023321053
GMPR	500	1000	2	0.1599	0.011384211
GMPR	500	1000	5	0.8518	0.003910526
GMPR	500	1000	10	0.984	0.0017
CLR	500	1000	1	7.00E-04	0.005436842
CLR	500	1000	2	0.0038	0.001757895
CLR	500	1000	5	0.0236	4.00E-04
CLR	500	1000	10	0.2921	0.000105263
TSS	500	1000	1	0.0134	0.073388889
TSS	500	1000	2	0.1638	0.0265
TSS	500	1000	5	0.8705	0.008255556
TSS	500	1000	10	0.9881	0.003288889
wrench	500	200	1	0.004	0.000792929
wrench	500	200	2	0.4135	0.001368687
wrench	500	200	5	0.9975	0.004954545
wrench	500	200	10	1	0.005585859
TMM	500	200	1	0.0015	0.001070707
TMM	500	200	2	0.23	0.000929293
TMM	500	200	5	0.9545	0.001666667
TMM	500	200	10	0.996	0.000893939
RLE	500	200	1	0.001	0.000883838
RLE	500	200	2	0.2215	0.001055556
RLE	500	200	5	0.941	0.00219697
RLE	500	200	10	0.986	0.001575758
GMPR	500	200	1	0.002	0.000792929
GMPR	500	200	2	0.305	0.000454545
GMPR	500	200	5	0.94	0.001030303
GMPR	500	200	10	0.993	0.000626263
CLR	500	200	1	0	0
CLR	500	200	2	0	0
CLR	500	200	5	5.00E-04	0
CLR	500	200	10	0.038	0
ALR	500	200	1	0.0645	0.005262626
ALR	500	200	2	0.082	0.003939394
ALR	500	200	5	0.1675	0.002747475
ALR	500	200	10	0.2285	0.001227273
TSS	500	200	1	0.001	0.011611111
TSS	500	200	2	0.2735	0.006388889
TSS	500	200	5	0.955	0.020555556
TSS	500	200	10	0.998	0.005666667
wrench	500	500	1	0.0046	0.001728205
wrench	500	500	2	0.5038	0.002420513
wrench	500	500	5	0.9982	0.006779487
wrench	500	500	10	1	0.005446154
TMM	500	500	1	0.0038	0.00234359
