name	sample	otu	sampleotu	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
TMM	200	500	200_500	abundant	5	0.994465	0.006070401	0.908276979	0.123029072	0.8962	0.065732547	0.896912279	0.08622117	0.003015385	0.005738963	0.996984615	0.005738963	0.091723021	0.123029072
TMM	500	500	500_500	abundant	5	0.99744	0.002448747	0.964393656	0.065342526	0.9382	0.04841696	0.949168321	0.04328089	0.001041026	0.002241213	0.998958974	0.002241213	0.035606344	0.065342526
TMM	50	500	50_500	abundant	10	0.99132	0.003011359	0.779593807	0.072483811	0.9252	0.047193562	0.843738216	0.047341638	0.006984615	0.00302712	0.993015385	0.00302712	0.220406193	0.072483811
TMM	200	500	200_500	abundant	10	0.998485	0.002660462	0.966066973	0.065994707	0.9808	0.025412953	0.971864637	0.041318695	0.001061538	0.002656461	0.998938462	0.002656461	0.033933027	0.065994707
TMM	500	500	500_500	abundant	10	0.999315	0.001567754	0.98225773	0.047499344	0.9936	0.013597385	0.987178026	0.027124512	0.000538462	0.001605837	0.999461538	0.001605837	0.01774227	0.047499344
TMM	50	200	50_200	abundant	1	0.97961	0.004627312	0.041552741	0.041169306	0.0505	0.052941267	0.04337652	0.041790717	0.011005051	0.004924609	0.988994949	0.004924609	0.958447259	0.041169306
TMM	200	200	200_200	abundant	1	0.988245	0.001744392	0.03904304	0.091390956	0.01	0.021320072	0.015318667	0.032808699	0.001873737	0.001800775	0.998126263	0.001800775	0.87095696	0.289794487
TMM	500	200	500_200	abundant	1	0.988955	0.001199947	0.007777778	0.048044436	0.0015	0.00857233	0.002428786	0.01395853	0.001070707	0.001220932	0.998929293	0.001220932	0.732222222	0.438823888
TMM	50	200	50_200	abundant	2	0.98592	0.004264441	0.342957057	0.141262671	0.333	0.126175283	0.323196019	0.108605117	0.007484848	0.004494081	0.992515152	0.004494081	0.657042943	0.141262671
TMM	200	200	200_200	abundant	2	0.99068	0.002547052	0.625514819	0.250600641	0.269	0.140845212	0.357100417	0.160374665	0.002030303	0.002133082	0.997969697	0.002133082	0.374485181	0.250600641
TMM	500	200	500_200	abundant	2	0.99138	0.001659256	0.733721984	0.282239959	0.23	0.146508179	0.329336755	0.174087352	0.000929293	0.001064062	0.999070707	0.001064062	0.256278016	0.273563024
TMM	50	200	50_200	abundant	5	0.993825	0.002657536	0.673669657	0.131409468	0.837	0.084870668	0.737711382	0.088470815	0.004590909	0.002685071	0.995409091	0.002685071	0.326330343	0.131409468
TMM	200	200	200_200	abundant	5	0.99791	0.002133641	0.906817379	0.1275464	0.9095	0.077098586	0.902105005	0.086120669	0.00119697	0.001962831	0.99880303	0.001962831	0.093182621	0.1275464
TMM	500	200	500_200	abundant	5	0.997895	0.002684876	0.889654284	0.158937406	0.9545	0.054167249	0.911838436	0.099705487	0.001666667	0.002675848	0.998333333	0.002675848	0.110345716	0.158937406
TMM	50	200	50_200	abundant	10	0.99694	0.002421787	0.817588028	0.115960737	0.9365	0.054520407	0.866869937	0.074960698	0.002449495	0.0024819	0.997550505	0.0024819	0.182411972	0.115960737
TMM	200	200	200_200	abundant	10	0.99875	0.002963158	0.935163414	0.141018332	0.9865	0.02645274	0.953146307	0.094113354	0.001126263	0.002985637	0.998873737	0.002985637	0.064836586	0.141018332
TMM	500	200	500_200	abundant	10	0.999075	0.002208083	0.94319375	0.129175127	0.996	0.015374122	0.963809978	0.082247612	0.000893939	0.002187793	0.999106061	0.002187793	0.05680625	0.129175127
RLE	50	500	50_500	abundant	1	0.943925	0.018899438	0.049329114	0.029551098	0.078	0.078752906	0.056306056	0.037381239	0.033871795	0.021135508	0.966128205	0.021135508	0.950670886	0.029551098
RLE	200	500	200_500	abundant	1	0.968415	0.006148029	0.054924452	0.105315534	0.015	0.02227015	0.020923851	0.030208287	0.007138462	0.006558272	0.992861538	0.006558272	0.915075548	0.192760334
RLE	500	500	500_500	abundant	1	0.972415	0.007475906	0.042429346	0.161009676	0.0038	0.010519823	0.006177575	0.016431205	0.002748718	0.007711629	0.997251282	0.007711629	0.767570654	0.406315948
RLE	50	500	50_500	abundant	2	0.960995	0.013076792	0.284048314	0.084804303	0.2982	0.11220814	0.276497899	0.071481414	0.022010256	0.015016166	0.977989744	0.015016166	0.715951686	0.084804303
RLE	200	500	200_500	abundant	2	0.97686	0.006016845	0.700193265	0.210429558	0.2332	0.121745554	0.322619801	0.129783224	0.004071795	0.007027216	0.995928205	0.007027216	0.299806735	0.210429558
RLE	500	500	500_500	abundant	2	0.978135	0.01119994	0.790257654	0.211382899	0.2716	0.123850023	0.381461155	0.138392186	0.003748718	0.011578295	0.996251282	0.011578295	0.209742346	0.211382899
RLE	50	500	50_500	abundant	5	0.980755	0.011307121	0.631275555	0.11616128	0.7472	0.101921737	0.671767957	0.079019379	0.01325641	0.01247669	0.98674359	0.01247669	0.368724445	0.11616128
RLE	200	500	200_500	abundant	5	0.990595	0.013928696	0.867407144	0.168507998	0.8482	0.095899569	0.842404637	0.116861028	0.005753846	0.014553129	0.994246154	0.014553129	0.132592856	0.168507998
RLE	500	500	500_500	abundant	5	0.9964	0.004586431	0.94953244	0.1044599	0.9232	0.058996319	0.931955176	0.071008715	0.001723077	0.004429789	0.998276923	0.004429789	0.05046756	0.1044599
RLE	50	500	50_500	abundant	10	0.988905	0.006617888	0.751489708	0.106223499	0.8862	0.0668298	0.806939347	0.073458543	0.008461538	0.007056895	0.991538462	0.007056895	0.248510292	0.106223499
RLE	200	500	200_500	abundant	10	0.99791	0.003179305	0.964666041	0.074939934	0.9614	0.042947466	0.960584964	0.048321473	0.001153846	0.003194985	0.998846154	0.003194985	0.035333959	0.074939934
RLE	500	500	500_500	abundant	10	0.997872449	0.005726278	0.955762414	0.112319254	0.986326531	0.020827606	0.966481854	0.073783994	0.001831502	0.005878499	0.998168498	0.005878499	0.044237586	0.112319254
RLE	50	200	50_200	abundant	1	0.97872	0.007413242	0.039449991	0.043766622	0.062	0.089363631	0.043872723	0.049533588	0.012020202	0.008143378	0.987979798	0.008143378	0.960550009	0.043766622
RLE	200	200	200_200	abundant	1	0.98763	0.002700187	0.038362485	0.132435345	0.008	0.020985806	0.011460381	0.029068904	0.002474747	0.002778821	0.997525253	0.002778821	0.851637515	0.32848594
RLE	500	200	500_200	abundant	1	0.989135	0.001036834	0.0075	0.055675376	0.001	0.007035265	0.001742424	0.012270233	0.000883838	0.001046126	0.999116162	0.001046126	0.6825	0.463101915
RLE	50	200	50_200	abundant	2	0.98481	0.00599317	0.305123544	0.148043058	0.2805	0.124294981	0.271705941	0.101843314	0.008075758	0.006596583	0.991924242	0.006596583	0.694876456	0.148043058
RLE	200	200	200_200	abundant	2	0.9901	0.004146923	0.620020298	0.276457211	0.2775	0.134535302	0.357879531	0.150191396	0.00270202	0.004099516	0.99729798	0.004099516	0.379979702	0.276457211
RLE	500	200	500_200	abundant	2	0.99117	0.001789729	0.729686562	0.271287418	0.2215	0.143416995	0.317274653	0.169655231	0.001055556	0.001278283	0.998944444	0.001278283	0.270313438	0.271287418
RLE	50	200	50_200	abundant	5	0.992185	0.005584817	0.641157277	0.157435681	0.7725	0.119209306	0.683127308	0.113720189	0.00559596	0.00579178	0.99440404	0.00579178	0.358842723	0.157435681
RLE	200	200	200_200	abundant	5	0.99669	0.003718491	0.855858669	0.180528082	0.8845	0.089525968	0.858068515	0.123254381	0.002176768	0.003592606	0.997823232	0.003592606	0.144141331	0.180528082
RLE	500	200	500_200	abundant	5	0.997235	0.003529425	0.863755102	0.184381898	0.941	0.072257955	0.888481919	0.123076857	0.00219697	0.003472761	0.99780303	0.003472761	0.136244898	0.184381898
RLE	50	200	50_200	abundant	10	0.996145	0.00314088	0.793179465	0.134321807	0.905	0.077687538	0.835302859	0.088490653	0.002934343	0.003325188	0.997065657	0.003325188	0.206820535	0.134321807
RLE	200	200	200_200	abundant	10	0.99757	0.003712537	0.87247276	0.185301619	0.9755	0.041129876	0.908780931	0.12267632	0.002207071	0.003729807	0.997792929	0.003729807	0.12752724	0.185301619
RLE	500	200	500_200	abundant	10	0.9983	0.003565406	0.913923105	0.168547915	0.986	0.055084875	0.937746745	0.116493154	0.001575758	0.00356495	0.998424242	0.00356495	0.086076895	0.168547915
GMPR	50	500	50_500	abundant	1	0.94542	0.012442742	0.050121267	0.031533786	0.0704	0.061855485	0.05597934	0.037387282	0.03214359	0.013812035	0.96785641	0.013812035	0.949878733	0.031533786
GMPR	200	500	200_500	abundant	1	0.96874	0.004399541	0.046870567	0.08450676	0.0128	0.019179113	0.018277774	0.026197005	0.006748718	0.0047438	0.993251282	0.0047438	0.943129433	0.127257661
GMPR	500	500	500_500	abundant	1	0.973265	0.001731256	0.031873016	0.148299316	0.0024	0.008659671	0.004335966	0.015787618	0.001841026	0.001766107	0.998158974	0.001766107	0.808126984	0.383989419
GMPR	50	500	50_500	abundant	2	0.96327	0.008529337	0.316537999	0.079129516	0.359	0.110695688	0.326526972	0.074272018	0.021235897	0.009945587	0.978764103	0.009945587	0.683462001	0.079129516
GMPR	200	500	200_500	abundant	2	0.97856	0.003190326	0.717473128	0.175341671	0.2606	0.099227521	0.370569068	0.111676609	0.003030769	0.002639246	0.996969231	0.002639246	0.282526872	0.175341671
GMPR	500	500	500_500	abundant	2	0.979715	0.002474369	0.837392589	0.133332181	0.237	0.09261084	0.360817273	0.112865566	0.001241026	0.001222236	0.998758974	0.001222236	0.162607411	0.133332181
GMPR	50	500	50_500	abundant	5	0.983235	0.005113586	0.642304171	0.096224731	0.8218	0.081950712	0.713931811	0.062560199	0.012625641	0.005711356	0.987374359	0.005711356	0.357695829	0.096224731
GMPR	200	500	200_500	abundant	5	0.994855	0.004725973	0.903371299	0.107353683	0.9084	0.075434365	0.901552585	0.078484639	0.002928205	0.004242808	0.997071795	0.004242808	0.096628701	0.107353683
